,job_position,job_id,company_name,job_location,job_posting_date,skill,senority_level,employment_type,job_function,industry
17,"Analyst, Data Science, Visa Consulting and Analytics",4119786232,Visa,Mumbai Metropolitan Region,2025-02-08,"['python', 'SQL', 'R', 'Machine Learning', 'Data Science', 'Big Data', 'Spark', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
18,Credit Risk,4114479670,KPMG India,"Mumbai, Maharashtra, India",2025-01-31,"['python', 'R', 'Data Science', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,"Finance, Accounting/Auditing, and Consulting","Business Consulting and Services, Investment Banking, and Financial Services"
19,Python Developer,4137897984,Persistent Systems,"Pune, Maharashtra, India",2025-01-30,"['python', 'JavaScript', 'C++', 'HTML', 'MongoDB', 'Flask', 'Docker', 'Bash', 'Backend Development', 'Full Stack Development', 'Cloud Computing', 'Scripting']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
20,Software Developer 1,4095525022,Oracle,"Pune, Maharashtra, India",2025-02-15,"['python', 'java', 'JavaScript', 'C++', 'HTML', 'CSS', 'Node.js', 'Go', 'AWS', 'Software Architecture', 'Data Structures', 'Frontend Development', 'Android Development', 'Competitive Programming']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
21,Python Developer,4148609429,Fusion Practices,Mumbai Metropolitan Region,2025-02-10,"['python', 'java', 'Django', 'JavaScript', 'HTML', 'CSS', 'MongoDB', 'PostgreSQL', 'Docker', 'AWS', 'Azure', 'Bash', 'Machine Learning', 'Big Data', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Cloud Computing']",Entry level,Full-time,Information Technology,IT Services and IT Consulting
22,Team Member - Analytics,4140115230,Aditya Birla Capital,Mumbai Metropolitan Region,2025-01-31,"['python', 'Machine Learning', 'Data Science', 'Automation', 'Data Analysis', 'Power BI']",Entry level,Full-time,Management and Manufacturing,Financial Services
23,KPMG India - BGV Analyst - Virtual Walk in Drive 15th february- (Graduate freshers),4151081225,KPMG India,"Pune, Maharashtra, India",2025-02-13,"['python', 'SQL', 'Data Analysis']",Entry level,Full-time,Consulting,Business Consulting and Services
24,Team Member - Data Analytics,4140113351,Aditya Birla Capital,Mumbai Metropolitan Region,2025-01-31,"['python', 'Machine Learning', 'Data Science', 'Backend Development', 'Automation', 'Data Analysis', 'Power BI']",Entry level,Full-time,Management and Manufacturing,Financial Services
25,Immediate Hiring For Airport (Freshers),4147932952,Konrad Integrated,"Nashik, Maharashtra, India",2025-02-09,"['python', 'java', 'C++', 'C', 'HTML', 'Data Analysis']",Entry level,Full-time,Public Relations,Airlines and Aviation
26,Software Engineer (Data Engineering),4144380541,Microsoft,"Maharashtra, India",2025-02-05,"['python', 'java', 'JavaScript', 'C', 'CSS', 'TypeScript', 'AWS', 'Azure', 'Machine Learning', 'Data Structures', 'Backend Development', 'Frontend Development', 'Data Analysis']",Not Applicable,Full-time,Engineering and Information Technology,Software Development
27,PYTHON DEVELOPER,4147187275,Global Product Compliance Group (GPC),"Nagpur, Maharashtra, India",2025-02-11,"['python', 'Django', 'JavaScript', 'C++', 'HTML', 'CSS', 'PostgreSQL', 'Flask', 'Docker', 'AWS', 'Bash', 'DBMS', 'Backend Development', 'Frontend Development', 'Performance Testing']",Entry level,Full-time,Engineering and Information Technology,Chemical Manufacturing
28,Software Engineer,4153123108,Microsoft,"Maharashtra, India",2025-02-14,"['python', 'java', 'JavaScript', 'C++', 'C', 'HTML', 'AWS', 'Software Architecture', 'Microservices', 'Backend Development', 'Full Stack Development', 'Automation']",Not Applicable,Full-time,Engineering and Information Technology,Software Development
30,Business Analyst,4151962106,Wipro,"Pune, Maharashtra, India",2025-02-13,"['python', 'HTML', 'SQL', 'JIRA', 'Data Analysis']",Mid-Senior level,Full-time,Other,Telecommunications
31,"Business Analyst, Go-to-Market, Google cloud",4137485816,Google,"Pune, Maharashtra, India",2025-01-28,"['python', 'C++', 'SQL', 'Go', 'R', 'Google Cloud', 'Data Science', 'Cloud Computing', 'Data Analysis']",Not Applicable,Full-time,"Sales, General Business, and Customer Service","Information Services and Technology, Information and Internet"
32,Python Developer,3987875915,Quantsapp,Mumbai Metropolitan Region,2024-07-30,"['python', 'Django', 'CSS', 'PostgreSQL', 'Docker', 'AWS', 'Bash', 'Machine Learning', 'NoSQL', 'Backend Development', 'Full Stack Development', 'Cloud Computing']",Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting
33,Software Developer(Fresher),4143181592,Timely Find,"Pune, Maharashtra, India",2025-02-04,"['python', 'java', 'JavaScript', 'C++', 'HTML', 'CSS', 'SQL', 'PostgreSQL', 'AWS', 'Data Structures', 'Backend Development', 'Full Stack Development', 'Android Development']",Entry level,Full-time,Engineering and Information Technology,Human Resources Services
34,Junior Python Engineer,4130216743,Delaplex,"Pune, Maharashtra, India",2024-12-25,"['python', 'Django', 'JavaScript', 'HTML', 'SQL', 'MongoDB', 'PostgreSQL', 'Docker', 'AWS', 'Terraform', 'Bash', 'Machine Learning', 'RESTful APIs', 'Backend Development', 'Full Stack Development', 'Cloud Computing']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
35,Software Developer(Fresher),4145547216,Find Next Hire,"Pune, Maharashtra, India",2025-02-06,"['python', 'java', 'JavaScript', 'C++', 'HTML', 'CSS', 'SQL', 'PostgreSQL', 'Node.js', 'AWS', 'Data Structures', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Android Development']",Entry level,Full-time,Engineering and Information Technology,Human Resources Services
36,Software Developer(Fresher),4145542952,Find Next Hire,"Pune, Maharashtra, India",2025-02-06,"['python', 'java', 'C++', 'HTML', 'CSS', 'SQL', 'PostgreSQL', 'Node.js', 'AWS', 'Data Structures', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Android Development']",Entry level,Full-time,Engineering and Information Technology,Human Resources Services
37,Python Developer Freshers,3782263487,Career,"Pune, Maharashtra, India",2023-12-04,"['python', 'Django', 'PostgreSQL', 'Flask', 'Docker', 'AWS', 'Bash', 'Machine Learning', 'Backend Development', 'Full Stack Development', 'Data Analysis']",Entry level,Full-time,Engineering and Information Technology,Human Resources Services
38,Power BI Developer,4137801449,Deloitte,"Mumbai, Maharashtra, India",2025-01-30,"['python', 'JavaScript', 'HTML', 'SQL', 'Data Science', 'Cloud Computing', 'Unit Testing', 'Data Analysis', 'Power BI']",Not Applicable,Full-time,Information Technology,Business Consulting and Services and IT Services and IT Consulting
39,Software Engineer,4132857054,Capgemini Engineering,"Pune, Maharashtra, India",2025-01-24,"['python', 'java', 'JavaScript', 'C++', 'HTML', 'SQL', 'PostgreSQL', 'Node.js', 'AWS', 'Data Structures', 'Frontend Development', 'Android Development']",Mid-Senior level,Part-time,Information Technology,IT Services and IT Consulting and Telecommunications
40,Software Developer(Fresher),4067251625,Altraize,"Pune, Maharashtra, India",2024-10-13,"['python', 'JavaScript', 'C++', 'CSS', 'PostgreSQL', 'Node.js', 'AWS', 'Data Structures', 'Backend Development', 'Frontend Development', 'Full Stack Development', 'Android Development']",Entry level,Full-time,Engineering and Information Technology,Outsourcing and Offshoring Consulting
41,Interesting Job Opportunity: HDFC Securities - System Engineer,4066476615,HDFC securities,Mumbai Metropolitan Region,2024-11-07,"['python', 'Linux', 'Backend Development', 'Networking', 'Performance Testing', 'Data Analysis']",Entry level,Full-time,Information Technology,"Technology, Information and Internet, Software Development, and Technology, Information and Media"
42,Software Engineer- TEM,4145780185,Capgemini,"Pune, Maharashtra, India",2025-02-12,"['python', 'java', 'JavaScript', 'HTML', 'CSS', 'Node.js', 'AWS', 'Data Structures', 'Frontend Development', 'Android Development']",Entry level,Internship,Engineering and Information Technology,IT Services and IT Consulting
43,Business Intelligence Developer,4137686729,Google,"Pune, Maharashtra, India",2025-01-29,"['python', 'JavaScript', 'HTML', 'SQL', 'Go', 'Google Cloud', 'Machine Learning', 'Data Science', 'Backend Development', 'Cloud Computing', 'Scripting', 'Automation', 'Data Analysis', 'Power BI']",Not Applicable,Full-time,"Sales, General Business, and Customer Service","Information Services and Technology, Information and Internet"
44,System Engineer,4129448126,HDFC securities,"Mumbai, Maharashtra, India",2025-01-21,"['python', 'java', 'C++', 'HTML', 'SQL', 'PostgreSQL', 'AWS', 'Azure', 'Linux', 'Backend Development', 'Networking', 'Performance Testing']",Mid-Senior level,Full-time,Information Technology,Financial Services
45,Data Scientist,4085627286,Larsen & Toubro,"Mumbai, Maharashtra, India",2025-01-29,"['python', 'JavaScript', 'C++', 'R', 'Machine Learning', 'Deep Learning', 'Data Science', 'Hadoop', 'Data Analysis']",Entry level,Full-time,Engineering and Information Technology,Executive Offices
46,Junior Python Engineer,4130222011,Delaplex,"Nagpur, Maharashtra, India",2024-12-25,"['python', 'Django', 'JavaScript', 'HTML', 'CSS', 'SQL', 'MongoDB', 'PostgreSQL', 'Docker', 'AWS', 'Terraform', 'Bash', 'Machine Learning', 'RESTful APIs', 'Backend Development', 'Full Stack Development', 'Cloud Computing']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
47,Python Developer,4136114886,Virtusa,"Pune, Maharashtra, India",2025-01-28,"['python', 'Django', 'SQL', 'Docker', 'Bash', 'Machine Learning', 'NoSQL', 'Backend Development']",Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting
48,Python Developer,4136117466,Virtusa,"Pune, Maharashtra, India",2025-01-28,"['python', 'JavaScript', 'Docker', 'Bash', 'Machine Learning', 'NoSQL', 'Backend Development']",Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting
49,Data Quality Analyst,4101112352,IntegriChain,"Pune, Maharashtra, India",2025-02-15,"['python', 'AWS', 'Azure', 'Git', 'Jenkins', 'DevOps', 'Cloud Computing', 'Automation', 'Scrum', 'JIRA', 'Data Analysis']",Mid-Senior level,Full-time,Information Technology,Software Development
50,Python Developer,4141607787,Hexaware Technologies,"Pune, Maharashtra, India",2025-02-04,"['python', 'Django', 'HTML', 'SQL', 'Flask', 'Docker', 'Bash', 'Git', 'Machine Learning', 'Backend Development', 'Unit Testing']",Mid-Senior level,Full-time,"Analyst, Engineering, and Other","IT Services and IT Consulting, IT System Data Services, and IT System Training and Support"
51,Software Engineer,4132852483,Capgemini,"Mumbai, Maharashtra, India",2025-01-24,"['python', 'java', 'JavaScript', 'C++', 'C', 'HTML', 'SQL', 'Shell Scripting', 'AWS', 'Software Architecture', 'Data Structures', 'Backend Development', 'Frontend Development', 'Scripting']",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Telecommunications
52,Data Science Internship Opportunities: Second-Year Students,4153123083,Microsoft,"Maharashtra, India",2025-02-14,"['python', 'C++', 'R', 'Data Science']",Not Applicable,Internship,Engineering and Information Technology,Software Development
53,Data Scientist,4150132269,Jio Finance Ltd.,"Navi Mumbai, Maharashtra, India",2025-02-12,"['python', 'SQL', 'R', 'Machine Learning', 'Deep Learning', 'Data Science', 'Hadoop', 'Data Analysis']",Associate,Full-time,Analyst,Banking
54,Bombay Softwares - Python Developer - Flask/Django,4100366125,Bombay Softwares,"Navi Mumbai, Maharashtra, India",2024-12-15,"['python', 'Django', 'HTML', 'PostgreSQL', 'Flask', 'Docker', 'Bash', 'Machine Learning', 'Backend Development', 'Full Stack Development']",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet, Software Development, and Technology, Information and Media"
55,Python SDE 1/ SDE 2 | JCP,4113003357,Fynd (Shopsense Retail Technologies Ltd.),Mumbai Metropolitan Region,2025-01-02,"['python', 'java', 'Django', 'JavaScript', 'C++', 'HTML', 'PostgreSQL', 'Flask', 'Node.js', 'Docker', 'Kubernetes', 'AWS', 'Big Data', 'Data Structures', 'NoSQL', 'Redis', 'Backend Development', 'Frontend Development']",Mid-Senior level,Full-time,Engineering,Retail
56,Data Analyst,4152815222,Wipro,"Mumbai, Maharashtra, India",2025-02-14,"['python', 'CSS', 'SQL', 'R', 'Machine Learning', 'Big Data', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,"Analyst, Design, and Engineering","IT Services and IT Consulting, Investment Banking, and Financial Services"
57,Python Developer Trainee (Required),4151384071,CloudGemini Solutions,"Pune, Maharashtra, India",2025-02-02,"['python', 'Django', 'JavaScript', 'CSS', 'MongoDB', 'PostgreSQL', 'Flask', 'React', 'AWS', 'Azure', 'Google Cloud', 'Git', 'Data Structures', 'NoSQL', 'Backend Development', 'Cloud Computing']",Entry level,Full-time,Information Technology,IT Services and IT Consulting
58,I&M Engineer,4083909323,Larsen & Toubro,"Mumbai, Maharashtra, India",2025-01-29,"['python', 'JavaScript', 'C++', 'C', 'HTML', 'CSS', 'Linux', 'Git']",Entry level,Full-time,Engineering and Information Technology,Executive Offices
59,Data Analytics Trainee [Remote Required 03],4143634550,InnovatexIQ Solutions,"Nashik, Maharashtra, India",2025-02-04,"['python', 'SQL', 'R', 'Data Science', 'Big Data', 'Data Analysis', 'Power BI']",Internship,Full-time,Information Technology,Information Services
60,Business Data Analyst,4145518218,LTIMindtree,"Pune, Maharashtra, India",2025-02-06,"['python', 'JavaScript', 'C++', 'CSS', 'SQL', 'R', 'Machine Learning', 'Data Science', 'Big Data', 'Data Analysis', 'Power BI']",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
61,Python Developer,4136446181,Wissen Technology,"Pune, Maharashtra, India",2025-01-27,"['python', 'Django', 'JavaScript', 'HTML', 'CSS', 'SQL', 'Flask', 'FastAPI', 'Docker', 'Bash', 'Machine Learning', 'Backend Development', 'Full Stack Development']",Associate,Full-time,Information Technology,IT Services and IT Consulting
62,Python Developer,4074128263,Acquiscent Technologies Pvt. Ltd.,"Pune, Maharashtra, India",2024-11-11,"['python', 'Django', 'JavaScript', 'HTML', 'MongoDB', 'TensorFlow', 'Data Science', 'NoSQL', 'Backend Development', 'Full Stack Development']",Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting
63,Python Developer,4102995287,Bright Vision Technologies,"Pune, Maharashtra, India",2024-12-17,"['python', 'Django', 'JavaScript', 'MongoDB', 'Flask', 'Azure', 'Bash', 'Git', 'Backend Development', 'Full Stack Development']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
64,DataStage Developer,4148829923,LTIMindtree,"Pune, Maharashtra, India",2025-02-10,"['python', 'HTML', 'SQL', 'Azure', 'Data Science']",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Software Development
65,"Software Engineer II, Google Cloud",4138386938,Google,"Pune, Maharashtra, India",2025-01-30,"['python', 'java', 'JavaScript', 'C++', 'C', 'HTML', 'CSS', 'SQL', 'PostgreSQL', 'Node.js', 'AWS', 'Google Cloud', 'Edge Computing', 'Data Structures', 'Backend Development', 'Frontend Development', 'Full Stack Development']",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
66,Graduate Trainee -B.Sc (Physics) / B.B.A. (Supply chain Mgt),4130098206,Jabil,"Pune, Maharashtra, India",2025-01-20,"['python', 'C', 'Data Analysis']",Entry level,Full-time,Engineering and Analyst,"Appliances, Electrical, and Electronics Manufacturing"
67,Associate/Graduate Engineer,4119047187,SecurityHQ,"Pune, Maharashtra, India",2025-01-07,"['python', 'HTML']",Entry level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
68,Business Analyst,4148832274,Tech Mahindra,"Pune, Maharashtra, India",2025-02-10,"['python', 'HTML', 'SQL', 'Automation', 'Data Analysis']",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
69,BI Developer,4148871022,Godrej Industries Group,"Mumbai, Maharashtra, India",2025-02-10,"['python', 'HTML', 'SQL', 'Go', 'Data Science', 'Power BI']",Mid-Senior level,Full-time,Information Technology,Holding Companies
70,Python Developer,4119347795,Silicon Development,"Mumbai, Maharashtra, India",2024-12-15,"['python', 'Django', 'C++', 'HTML', 'SQL', 'MongoDB', 'Flask', 'Go', 'Bash', 'DBMS', 'Backend Development', 'Full Stack Development', 'Performance Testing']",Entry level,Other,Engineering and Information Technology,Software Development
71,Python Backend developer,4139899568,Wipro,"Pune, Maharashtra, India",2025-01-31,"['python', 'Django', 'MongoDB', 'Flask', 'FastAPI', 'Docker', 'Bash', 'Machine Learning', 'Data Structures', 'Redis', 'Backend Development', 'Full Stack Development']",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
72,Python Developer,4112828620,TurningPoint,"Pune, Maharashtra, India",2024-12-31,"['python', 'Django', 'JavaScript', 'HTML', 'CSS', 'MongoDB', 'PostgreSQL', 'Flask', 'Docker', 'NoSQL', 'Backend Development', 'DevOps', 'Cloud Computing', 'Automation', 'Agile Methodology', 'Unit Testing', 'Performance Testing']",Mid-Senior level,Full-time,Engineering and Information Technology,Marketing Services
73,Data Scientist,4137888288,Persistent Systems,"Pune, Maharashtra, India",2025-01-30,"['python', 'java', 'SQL', 'MongoDB', 'R', 'AWS', 'Azure', 'Google Cloud', 'Machine Learning', 'Deep Learning', 'NLP', 'PyTorch', 'LLMs', 'Data Science', 'Data Analysis', 'Competitive Programming']",Mid-Senior level,Full-time,Engineering and Information Technology,IT Services and IT Consulting
74,Full Stack Developer,4150598722,Reliance Industries Limited,"Navi Mumbai, Maharashtra, India",2025-02-13,"['python', 'java', 'JavaScript', 'CSS', 'MongoDB', 'Node.js', 'React', 'Angular', 'Ruby', 'Git']",Director,Full-time,Information Technology,Oil and Gas
75,Python Developers Apprentice (Hiring),4151015292,Accobridge Solutions,"Nashik, Maharashtra, India",2025-02-13,"['python', 'Django', 'JavaScript', 'MongoDB', 'PostgreSQL', 'AWS', 'Bash', 'Git']",Entry level,Internship,Information Technology,"Technology, Information and Internet"
76,Python Developer,4118381195,Bright Vision Technologies,"Mulshi, Maharashtra, India",2025-01-07,"['python', 'Django', 'JavaScript', 'HTML', 'CSS', 'SQL', 'MongoDB', 'Flask', 'Bash', 'Git', 'Machine Learning', 'Backend Development']",Mid-Senior level,Full-time,Engineering and Information Technology,Internet Publishing
77,Data Analyst (AI & ML Techniques for Large Data Sets),4148282594,Amherst,"Mumbai, Maharashtra, India",2025-02-10,"['python', 'SQL', 'R', 'AWS', 'Azure', 'Machine Learning', 'Deep Learning', 'NLP', 'TensorFlow', 'PyTorch', 'Computer Vision', 'Data Science', 'Big Data', 'Hadoop', 'Spark', 'Power BI']",Associate,Full-time,Analyst,Financial Services
78,Management Information System Executive,4129843556,Deloitte,"Mumbai, Maharashtra, India",2025-01-22,"['python', 'SQL', 'Data Analysis', 'Power BI']",Executive,Full-time,"Accounting/Auditing, Consulting, and Analyst",IT Services and IT Consulting
79,Data Analyst (Python),4150073777,Perficient India,"Pune, Maharashtra, India",2025-02-11,"['python', 'JavaScript', 'C++', 'SQL', 'R', 'Machine Learning', 'Big Data', 'Data Analysis']",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
80,Associate Analyst,4151682910,SecurityHQ,"Pune, Maharashtra, India",2025-02-13,"['python', 'JavaScript', 'HTML', 'SQL', 'Cybersecurity', 'Data Analysis']",Entry level,Full-time,Business Development and Sales,IT Services and IT Consulting
81,Jr. Python Developer,4143294578,Nirmitee.io,"Pune, Maharashtra, India",2025-02-06,"['python', 'Django', 'JavaScript', 'SQL', 'MongoDB', 'Flask', 'Kubernetes', 'Machine Learning', 'Backend Development']",Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting
82,Software Engineer,4131752784,Wipro,"Pune, Maharashtra, India",2025-01-22,"['python', 'java', 'JavaScript', 'HTML', 'CSS', 'MongoDB', 'Data Science', 'Big Data', 'Spark', 'Data Structures', 'NoSQL', 'Backend Development', 'Frontend Development', 'Android Development', 'Kafka']",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
83,Python Developer,4127273273,Russell Investments,"Goregaon, Maharashtra, India",2025-01-17,"['python', 'Django', 'JavaScript', 'CSS', 'SQL', 'MongoDB', 'Flask', 'Vue.js', 'Docker']",Mid-Senior level,Full-time,Information Technology,Financial Services
84,Credit Risk Consultant,4138389003,Deloitte,"Maharashtra, India",2025-01-30,"['python', 'Performance Testing']",Mid-Senior level,Full-time,"Consulting, Management, and Finance","Financial Services, Business Consulting and Services, and Consumer Services"
85,Python Developer,4141817829,Emerson,"Pune, Maharashtra, India",2025-02-02,"['python', 'Django', 'HTML', 'Flask', 'Bash', 'Git', 'NoSQL', 'Scripting', 'Unit Testing']",Mid-Senior level,Full-time,Engineering,Industrial Machinery Manufacturing
86,Python Fullstack Developer,4131759990,Virtusa,"Pune, Maharashtra, India",2025-02-15,"['python', 'JavaScript', 'HTML', 'Flask', 'Docker', 'Backend Development', 'Full Stack Development']",Associate,Full-time,Engineering and Information Technology,IT Services and IT Consulting
87,Data Analyst,4115936574,ETG,"Mumbai, Maharashtra, India",2025-01-20,"['python', 'JavaScript', 'R', 'Machine Learning', 'Data Science', 'Big Data', 'Data Analysis', 'Power BI']",Entry level,Full-time,Information Technology,Food and Beverage Services
88,Python Developers Apprentice,4151020240,Accobridge Solutions,"Pune, Maharashtra, India",2025-02-13,"['python', 'JavaScript', 'HTML', 'CSS', 'SQL', 'PostgreSQL', 'Docker', 'AWS']",Entry level,Internship,Information Technology,"Technology, Information and Internet"
89,Python Developers Apprentice (Hiring),4151010741,Accobridge Solutions,"Pune, Maharashtra, India",2025-02-13,"['python', 'Django', 'JavaScript', 'HTML', 'CSS', 'SQL', 'MongoDB', 'Docker']",Entry level,Internship,Information Technology,"Technology, Information and Internet"
90,Python Developer,4050506956,TechLadd,"Pune, Maharashtra, India",2024-10-16,"['python', 'Django', 'CSS', 'MongoDB', 'PostgreSQL', 'Flask', 'Git', 'Machine Learning', 'RESTful APIs', 'Backend Development', 'Unit Testing', 'Performance Testing']",Associate,Full-time,Engineering and Information Technology,Software Development
91,AI Engineer,4131752675,Tech Mahindra,"Pune, Maharashtra, India",2025-01-22,"['python', 'C++', 'HTML', 'SQL', 'Docker', 'AWS', 'Machine Learning', 'Deep Learning', 'TensorFlow', 'PyTorch', 'Computer Vision', 'Data Science', 'Spark', 'Data Analysis']",Mid-Senior level,Full-time,Information Technology,Information Services
92,Data Analyst,4148739384,Schbang,"Mumbai, Maharashtra, India",2025-02-12,"['python', 'SQL', 'R', 'Machine Learning', 'Data Science', 'Big Data', 'Digital Marketing']",Associate,Full-time,Consulting,"Technology, Information and Media"
